#,Country,"GDP
(nominal, 2022)","GDP
(abbrev.)","GDP
growth","Population
(2022)","GDP
per capita","Share of
World GDP"
68,Bulgaria,"$89,040,398,406",$89.04 billion,3.36%,"6,825,864","$13,045",0.09%
69,Luxembourg,"$82,274,812,251",$82.27 billion,1.55%,"653,313","$125,935",0.08%
70,Uzbekistan,"$80,391,853,885",$80.39 billion,5.67%,"34,938,955","$2,301",0.08%
71,Azerbaijan,"$78,721,058,824",$78.72 billion,4.62%,"10,295,304","$7,646",0.08%
72,Panama,"$76,522,511,781",$76.52 billion,10.81%,"4,400,773","$17,388",0.08%
73,Tanzania,"$75,709,289,056",$75.71 billion,4.56%,"64,711,821","$1,170",0.08%
74,Sri Lanka,"$74,403,578,363",$74.40 billion,-7.82%,"22,834,965","$3,258",0.07%
75,Ghana,"$72,838,798,788",$72.84 billion,3.24%,"33,149,152","$2,197",0.07%
76,Belarus,"$72,793,457,588",$72.79 billion,-4.70%,"9,173,237","$7,935",0.07%
77,Uruguay,"$71,177,146,197",$71.18 billion,4.92%,"3,390,913","$20,991",0.07%
78,Croatia,"$70,964,606,465",$70.96 billion,6.33%,"3,907,027","$18,163",0.07%
79,Lithuania,"$70,334,299,008",$70.33 billion,1.89%,"2,816,919","$24,969",0.07%
80,Côte d'Ivoire,"$70,018,715,017",$70.02 billion,6.74%,"30,395,002","$2,304",0.07%
81,Costa Rica,"$68,380,838,316",$68.38 billion,4.31%,"5,081,765","$13,456",0.07%
82,Serbia,"$63,501,748,652",$63.50 billion,2.25%,"6,791,213","$9,351",0.06%
83,Slovenia,"$62,117,768,015",$62.12 billion,5.37%,"2,115,228","$29,367",0.06%
84,Myanmar,"$59,364,362,541",$59.36 billion,3.00%,"53,756,787","$1,104",0.06%
85,DR Congo,"$58,065,953,573",$58.07 billion,8.92%,"102,396,968",$567,0.06%
86,Sudan,"$51,662,241,775",$51.66 billion,-0.95%,"49,383,346","$1,046",0.05%
87,Jordan,"$47,451,499,859",$47.45 billion,2.50%,"11,256,263","$4,216",0.05%
88,Tunisia,"$46,664,948,952",$46.66 billion,2.52%,"12,119,334","$3,850",0.05%
89,Libya,"$45,752,336,036",$45.75 billion,-1.24%,"7,223,805","$6,334",0.05%
90,Uganda,"$45,559,202,049",$45.56 billion,4.65%,"47,312,719",$963,0.05%
91,Bahrain,"$44,390,820,479",$44.39 billion,4.86%,"1,533,459","$28,948",0.04%
92,Cameroon,"$44,341,646,509",$44.34 billion,3.54%,"27,632,771","$1,605",0.04%
93,Bolivia,"$43,068,885,673",$43.07 billion,3.07%,"12,077,154","$3,566",0.04%
94,Paraguay,"$41,722,295,362",$41.72 billion,0.08%,"6,760,464","$6,172",0.04%
95,Latvia,"$41,153,912,663",$41.15 billion,1.98%,"1,881,063","$21,878",0.04%
96,Nepal,"$40,828,247,302",$40.83 billion,5.61%,"29,715,436","$1,374",0.04%
97,Estonia,"$38,100,812,959",$38.10 billion,-1.29%,"1,350,091","$28,221",0.04%
98,El Salvador,"$32,488,720,000",$32.49 billion,2.60%,"6,280,319","$5,173",0.03%
99,Honduras,"$31,717,700,115",$31.72 billion,4.00%,"10,463,872","$3,031",0.03%
100,Papua New Guinea,"$30,633,444,295",$30.63 billion,4.60%,"10,203,169","$3,002",0.03%
101,Cambodia,"$29,956,769,529",$29.96 billion,5.16%,"17,201,724","$1,741",0.03%
102,Zambia,"$29,784,454,056",$29.78 billion,4.74%,"20,152,938","$1,478",0.03%
103,Cyprus,"$28,439,052,741",$28.44 billion,5.63%,"1,331,370","$21,361",0.03%
104,Trinidad and Tobago,"$27,899,082,337",$27.90 billion,2.48%,"1,495,921","$18,650",0.03%
105,Iceland,"$27,841,648,044",$27.84 billion,6.44%,"380,356","$73,199",0.03%
106,Senegal,"$27,684,430,244",$27.68 billion,4.15%,"17,651,103","$1,568",0.03%
107,Georgia,"$24,605,375,420",$24.61 billion,10.11%,"3,794,784","$6,484",0.02%
108,Bosnia and Herzegovina,"$24,527,507,288",$24.53 billion,3.90%,"3,204,802","$7,653",0.02%
109,Macao,"$21,979,475,561",$21.98 billion,-26.76%,"704,356","$31,205",0.02%
110,Guinea,"$21,227,749,389",$21.23 billion,4.70%,"14,055,137","$1,510",0.02%
